trip_id,lat,lon,pickup_time,dropoff_time,distance_km,duration_sec,cost,car_model,car_cat,gender,gps_points,max_speed,avg_speed
1195506,,,2016-01-30 16:06:39,2016-01-30 16:49:49,10.21,0,,Fortuner,,N/A,537,186.8,7.5
1195495,,,2016-01-30 16:10:39,2016-01-30 16:34:09,11.57,0,,Fortuner,,female,302,148.4,17.7
1195493,,,2016-01-30 16:03:05,2016-01-30 16:36:55,26.34,0,,Sportage (KIA),,female,425,121.3,46.8
1195489,,,2016-01-30 15:43:39,2016-01-30 16:56:04,21.52,0,,Fortuner,,female,888,81.6,17.8
1195487,,,2016-01-30 15:23:23,2016-01-30 16:03:49,19.53,0,,Fortuner,,N/A,462,131.7,18.6
1195486,,,2016-01-30 15:47:59,2016-01-30 16:18:02,11.92,0,,Camry,,female,360,152.7,22.7
1195482,,,2016-01-30 15:56:12,2016-01-30 16:21:48,26.71,0,,Explorer,,female,306,145.4,61.4
1195481,,,2016-01-30 15:25:44,2016-01-30 15:40:05,9.34,0,,LEXUS,,N/A,148,86.4,31.2
1195480,,,2016-01-30 15:23:36,2016-01-30 15:51:38,15.59,0,,Prado,,N/A,315,138.0,34.0
1195475,,,2016-01-30 15:22:06,2016-01-30 15:49:01,22.38,0,,Lexus,,female,202,147.4,24.7
1195462,,,2016-01-30 15:12:42,2016-01-30 16:01:13,13.57,0,,Altima,,female,598,128.9,8.4
1195458,,,2016-01-30 15:11:30,2016-01-30 15:48:46,27.66,0,,Expedition,,female,425,146.6,41.3
1195438,,,2016-01-30 14:33:07,2016-01-30 14:41:48,5.0,0,,Prado,,female,123,112.1,34.9
1195435,,,2016-01-30 14:28:34,2016-01-30 14:44:29,8.83,0,,Innova,,female,190,110.9,32.4
1195431,,,2016-01-30 14:16:22,2016-01-30 14:30:03,4.0,0,,Innova,,female,143,78.8,17.7
1195427,,,2016-01-30 14:06:37,2016-01-30 15:03:03,13.2,0,,Elentra,,N/A,655,82.6,14.0
1195424,,,2016-01-30 14:07:30,2016-01-30 14:38:49,18.72,0,,Prado,,N/A,375,147.3,33.6
1195423,,,2016-01-30 14:17:45,2016-01-30 15:11:05,13.45,0,,Sonata,,female,639,101.5,15.1
1195422,,,2016-01-30 14:05:11,2016-01-30 14:37:17,8.49,0,,Fortuner,,female,404,65.2,16.0
1195410,,,2016-01-30 13:44:56,2016-01-30 14:01:07,18.5,0,,Fortuner ,,female,200,124.7,49.8
1195406,,,2016-01-30 14:07:04,2016-01-30 14:24:49,11.82,0,,Innova,,N/A,187,130.0,21.2
1195403,,,2016-01-30 13:38:28,2016-01-30 14:08:35,6.35,0,,Innova,,female,340,108.2,12.7
1195401,,,2016-01-30 14:08:15,2016-01-30 14:30:41,15.91,0,,Fortuner,,female,268,153.3,41.3
1195397,,,2016-01-30 13:26:25,2016-01-30 13:43:28,11.25,0,,Taurus,,female,203,103.1,39.6
1195389,,,2016-01-30 13:12:36,2016-01-30 13:21:58,1.96,0,,Innova,,female,109,110.6,12.5
1195386,,,2016-01-30 13:09:16,2016-01-30 13:15:33,0.6,0,,Tausan,,female,54,25.0,5.9
1195383,,,2016-01-30 12:43:40,2016-01-30 12:53:47,9.07,0,,Fortuner,,female,120,98.3,54.1
1195370,,,2016-01-30 12:09:10,2016-01-30 12:19:41,7.83,0,,Innova,,female,125,90.0,43.6
1195367,,,2016-01-30 12:17:47,2016-01-30 13:58:51,57.19,0,,Altima,,N/A,1212,159.7,20.3
