latitude,longitude,type,name,district
24.8103745,46.6528062,Residential - Other,Unnamed,
24.810574,46.6527131,Residential - Other,Unnamed,
24.8106657,46.6529181,Residential - Other,Unnamed,
24.8104661,46.6530118,Residential - Other,Unnamed,
24.8105405,46.6531942,Residential - Other,Unnamed,
24.8107347,46.6531119,Residential - Other,Unnamed,
24.8106317,46.6534235,Residential - Other,Unnamed,
24.8108384,46.6533148,Residential - Other,Unnamed,
24.8109087,46.6535258,Residential - Other,Unnamed,
24.8107227,46.6536093,Residential - Other,Unnamed,
24.8107975,46.6537745,Residential - Other,Unnamed,
24.8109721,46.6536809,Residential - Other,Unnamed,
24.8110413,46.6538291,Residential - Other,Unnamed,
24.8109119,46.6540495,Residential - Other,Unnamed,
24.8111027,46.6539722,Residential - Other,Unnamed,
